elapsed_s	state	tx	rx	malformed	mac_fail	src_viol	unroutable	rss_kb	ping_ms
25257	established	1521808824	767048930	0	0	0	16	5320	LOSS
25321	established	1521808826	767048930	0	0	0	16	5320	LOSS
25385	established	1521808827	767048930	0	0	0	16	5320	LOSS
25449	established	1521808829	767048930	0	0	0	16	5320	LOSS
25513	established	1521808830	767048930	0	0	0	16	5320	LOSS
25574	established	1521808832	767048930	0	0	0	16	5320	0.851
25636	established	1521808833	767048931	0	0	0	16	5320	0.875
25698	established	1524923047	768620570	0	0	0	16	5320	0.938
25760	established	1529522613	770939992	0	0	0	16	5320	1.33
25821	established	1534037625	773216057	0	0	0	16	5320	1.06
25883	established	1538638629	775538787	0	0	0	16	5320	1.19
25945	established	1543112709	777795108	0	0	0	16	5320	1.84
26007	established	1546910365	779708248	0	0	0	16	5320	1.23
26069	established	1551288898	781917329	0	0	0	16	5320	1.19
26131	established	1555812300	784199774	0	0	0	16	5320	1.12
26193	established	1560410980	786514027	0	0	0	16	5320	1.76
26255	established	1565026438	788841815	0	0	0	16	5320	1.14
26317	established	1569048648	790864873	0	0	0	16	5320	1.87
26378	established	1572934782	792825152	0	0	0	16	5320	1.35
26440	established	1577541373	795137477	0	0	0	16	5320	0.687
26502	established	1582147843	797460631	0	0	0	16	5320	1.33
26564	established	1586772573	799794376	0	0	0	16	5320	1.72
26626	established	1591391593	802123597	0	0	0	16	5320	1.48
26688	established	1595085657	803985398	0	0	0	17	5320	0.914
26749	established	1599234187	806075174	0	0	0	17	5332	1.65
26811	established	1603758878	808358701	0	0	0	17	5320	0.875
26873	established	1607827623	810406706	0	0	0	17	5320	1.50
26935	established	1611781210	812397107	0	0	0	17	5320	0.852
26996	established	1616431177	814741401	0	0	0	17	5320	0.867
27058	established	1620532976	816809122	0	0	0	17	5320	1.37
27120	established	1624159682	818638329	0	0	0	17	5320	1.94
27182	established	1628742699	820950185	0	0	0	17	5320	0.724
27245	established	1632627120	822908486	0	0	0	17	5320	LOSS
27309	established	1632627124	822908486	0	0	0	17	5320	LOSS
27373	established	1632627126	822908486	0	0	0	17	5320	LOSS
27436	established	1632627127	822908486	0	0	0	17	5320	LOSS
27498	established	1632627129	822908486	0	0	0	17	5320	0.755
27560	established	1632627130	822908487	0	0	0	17	5320	0.764
27622	established	1636593912	824902858	0	0	0	17	5320	1.23
27684	established	1641088912	827155819	0	0	0	17	5320	1.79
27746	established	1645556966	829408941	0	0	0	17	5320	1.63
27808	established	1649732560	831515604	0	0	0	17	5320	1.69
27869	established	1654247595	833789058	0	0	0	17	5320	1.73
27931	established	1658712780	836039609	0	0	0	17	5320	1.32
27993	established	1663242649	838319656	0	0	0	17	5320	0.967
28055	established	1667234567	840333433	0	0	0	17	5320	1.74
28116	established	1670864831	842164266	0	0	0	17	5320	1.33
28178	established	1674605902	844050814	0	0	0	17	5320	1.48
28240	established	1678839976	846186909	0	0	0	17	5320	1.53
28302	established	1683348301	848459887	0	0	0	17	5320	0.829
28367	DOWN							0	LOSS
28432	DOWN							0	LOSS
