elapsed_s	state	tx	rx	malformed	decrypt_fail	mac_fail	src_viol	unroutable	rss_kb	ping_ms
16986	established	1197666683	603740977	0	0	0	0	14	5352	1.53
17048	established	1202218388	606038076	0	0	0	0	14	5352	0.963
17110	established	1206815786	608358667	0	0	0	0	14	5352	1.28
17171	established	1211313816	610628063	0	0	0	0	14	5352	1.86
17233	established	1215409707	612695486	0	0	0	0	14	5352	1.23
17295	established	1220008458	615014240	0	0	0	0	14	5352	1.67
17357	established	1224564791	617302761	0	0	0	0	14	5352	1.39
17419	established	1229150969	619617890	0	0	0	0	14	5352	1.38
17481	established	1233604682	621864078	0	0	0	0	14	5352	1.31
17542	established	1237137140	623642919	0	0	0	0	14	5352	1.76
17604	established	1241654170	625922813	0	0	0	0	14	5352	1.32
17666	established	1245644853	627935699	0	0	0	0	14	5352	1.48
17728	established	1249267169	629764089	0	0	0	0	14	5352	1.85
17790	established	1252894778	631593648	0	0	0	0	14	5352	1.37
17851	established	1257351052	633841483	0	0	0	0	14	5352	1.44
17913	established	1261915922	636145888	0	0	0	0	14	5352	1.23
17975	established	1266417831	638418624	0	0	0	0	14	5356	1.50
18037	established	1270967831	640707796	0	0	0	0	14	5352	1.24
18098	established	1275529932	643008595	0	0	0	0	14	5352	1.72
18160	established	1280055903	645293591	0	0	0	0	14	5352	2.06
18222	established	1284675544	647621662	0	0	0	0	14	5352	0.931
18284	established	1289262589	649937483	0	0	0	0	14	5352	1.71
18346	established	1293740358	652194760	0	0	0	0	14	5352	1.38
18408	established	1298334039	654509605	0	0	0	0	14	5352	2.41
18470	established	1302224253	656472266	0	0	0	0	14	5352	1.18
18531	established	1306808238	658783886	0	0	0	0	14	5352	1.87
18593	established	1311404515	661093954	0	0	0	0	14	5352	1.15
18655	established	1316015343	663407686	0	0	0	0	15	5352	1.45
18717	established	1320561095	665701024	0	0	0	0	15	5352	1.94
18779	established	1325135856	668008873	0	0	0	0	15	5352	1.19
18841	established	1329681993	670301442	0	0	0	0	15	5352	3.27
18903	established	1334248291	672605941	0	0	0	0	15	5352	0.948
18964	established	1338708042	674841512	0	0	0	0	15	5352	0.904
19026	established	1343325253	677168155	0	0	0	0	15	5352	1.82
19088	established	1347839685	679440954	0	0	0	0	15	5352	1.84
19150	established	1352303454	681693406	0	0	0	0	15	5352	1.86
19212	established	1356787442	683956875	0	0	0	0	15	5352	1.57
19273	established	1361348792	686247301	0	0	0	0	15	5352	1.96
19335	established	1365798810	688494333	0	0	0	0	15	5352	1.24
19397	established	1370259995	690746195	0	0	0	0	15	5352	1.54
19459	established	1374808422	693039070	0	0	0	0	15	5352	0.677
19520	established	1379308104	695280884	0	0	0	0	15	5352	0.668
19582	established	1383854165	697568909	0	0	0	0	15	5352	1.43
19644	established	1388406281	699865666	0	0	0	0	15	5352	1.45
19705	established	1393001883	702185315	0	0	0	0	15	5352	1.57
19767	established	1397609990	704511541	0	0	0	0	15	5352	1.25
19829	established	1402176592	706814044	0	0	0	0	15	5352	1.92
19891	established	1406587431	709037227	0	0	0	0	15	5352	1.69
19953	established	1410715032	711120471	0	0	0	0	15	5352	2.20
20014	established	1414455369	713006789	0	0	0	0	15	5352	1.85
20076	established	1418884979	715240399	0	0	0	0	15	5352	0.682
20138	established	1423431299	717534755	0	0	0	0	15	5352	1.15
20199	established	1428008162	719845673	0	0	0	0	15	5352	1.51
20261	established	1432586940	722157387	0	0	0	0	15	5352	3.46
20323	established	1436676115	724220556	0	0	0	0	15	5352	1.62
20385	established	1440136445	725965590	0	0	0	0	15	5352	1.54
20446	established	1444109764	727966168	0	0	0	0	15	5352	1.69
20508	established	1447918589	729886917	0	0	0	0	15	5352	1.48
20570	established	1451570916	731726205	0	0	0	0	15	5352	1.82
20632	established	1455742729	733829929	0	0	0	0	15	5352	0.925
20693	established	1460235627	736098085	0	0	0	0	15	5352	1.98
20755	established	1464534231	738265616	0	0	0	0	15	5352	1.80
20817	established	1468164159	740096629	0	0	0	0	15	5352	1.73
20879	established	1471744204	741903460	0	0	0	0	15	5352	1.72
20940	established	1475503351	743800901	0	0	0	0	15	5352	1.90
21002	established	1479094924	745611333	0	0	0	0	15	5352	1.90
21064	established	1482814245	747488624	0	0	0	0	15	5352	1.46
21126	established	1487339907	749772517	0	0	0	0	15	5352	0.817
21187	established	1491937183	752092933	0	0	0	0	15	5352	1.64
21249	established	1496528763	754410540	0	0	0	0	15	5352	1.27
21311	established	1500994002	756664651	0	0	0	0	15	5352	1.83
21373	established	1505603318	758991496	0	0	0	0	15	5356	1.55
21435	established	1510213862	761319042	0	0	0	0	15	5352	1.45
21496	established	1514798733	763633855	0	0	0	0	15	5352	1.55
21558	established	1519333200	765923390	0	0	0	0	15	5352	0.888
21620	established	1523918617	768229954	0	0	0	0	15	5352	1.95
21682	established	1528535752	770555334	0	0	0	0	15	5352	1.36
21743	established	1533041501	772829283	0	0	0	0	15	5352	2.05
21805	established	1537592633	775125072	0	0	0	0	15	5352	1.47
21867	established	1542116812	777406221	0	0	0	0	15	5352	1.84
21929	established	1546683546	779703691	0	0	0	0	15	5352	1.06
21990	established	1551218534	781990339	0	0	0	0	15	5352	1.18
22052	established	1555746180	784269472	0	0	0	0	15	5352	1.25
22114	established	1560335191	786583832	0	0	0	0	15	5352	1.43
22176	established	1564906787	788889821	0	0	0	0	15	5352	1.24
22237	established	1568818625	790858303	0	0	0	0	15	5352	1.52
22299	established	1572927714	792930083	0	0	0	0	15	5352	1.59
22361	established	1576881586	794925036	0	0	0	0	16	5352	1.35
22422	established	1581403975	797203937	0	0	0	0	16	5352	1.38
22484	established	1585887952	799463054	0	0	0	0	16	5352	1.66
22546	established	1590383083	801730921	0	0	0	0	16	5352	1.85
22608	established	1594932452	804023733	0	0	0	0	16	5352	0.859
22669	established	1599428605	806283062	0	0	0	0	16	5352	1.87
22731	established	1603941053	808555551	0	0	0	0	16	5352	1.86
22793	established	1608472112	810843295	0	0	0	0	16	5352	0.929
22855	established	1612984599	813116651	0	0	0	0	16	5352	1.17
22917	established	1617482774	815378359	0	0	0	0	16	5352	0.765
22979	established	1622020694	817669767	0	0	0	0	16	5352	1.91
23041	established	1626599489	819981346	0	0	0	0	16	5352	1.42
23102	established	1631050585	822226879	0	0	0	0	16	5352	1.60
23164	established	1635635825	824540763	0	0	0	0	16	5352	1.50
23226	established	1640197424	826840035	0	0	0	0	16	5352	1.33
23287	established	1644786641	829149752	0	0	0	0	16	5352	1.86
23349	established	1649437154	831494364	0	0	0	0	16	5352	1.66
23411	established	1654040904	833816661	0	0	0	0	16	5352	1.27
23473	established	1658647996	836139022	0	0	0	0	16	5352	1.64
23535	established	1662931773	838295968	0	0	0	0	16	5352	1.63
23596	established	1666669362	840178522	0	0	0	0	16	5352	1.55
23658	established	1670762910	842239726	0	0	0	0	16	5352	1.64
23720	established	1675338568	844550141	0	0	0	0	16	5352	1.48
23782	established	1679104255	846449276	0	0	0	0	16	5352	1.05
23843	established	1682642616	848234442	0	0	0	0	16	5352	1.48
23905	established	1686255047	850055281	0	0	0	0	16	5352	1.12
23967	established	1690176805	852033173	0	0	0	0	16	5352	1.23
24028	established	1694685342	854309390	0	0	0	0	16	5352	0.772
24090	established	1698882191	856425968	0	0	0	0	16	5352	1.38
24152	established	1703338682	858675067	0	0	0	0	16	5352	1.68
24214	established	1707921815	860984515	0	0	0	0	16	5352	0.977
24275	established	1712495321	863293292	0	0	0	0	16	5352	1.80
24337	established	1716569070	865348864	0	0	0	0	16	5352	1.82
24399	established	1720611164	867388009	0	0	0	0	16	5352	1.85
24461	established	1724867182	869536302	0	0	0	0	16	5352	1.20
24522	established	1728919659	871576897	0	0	0	0	16	5352	1.80
24584	established	1733129706	873701902	0	0	0	0	16	5352	1.28
24646	established	1737593283	875953091	0	0	0	0	16	5352	3.34
24708	established	1742019945	878185500	0	0	0	0	16	5352	1.79
24770	established	1746625251	880506430	0	0	0	0	16	5352	1.39
